1,6C,E8E72EGYGE7T2E,,,,1,04:48 21 February 2025
2,6C,83278346743647,,,,1,04:50 21 February 2025
3,6C,E8E72EGYGE7T2E,,,,1,04:48 21 February 2025
4,3C,83278346743434344433434647,,,,1,04:50 21 February 2025
5,6C,ABC123DEF456GH,,,,1,04:52 21 February 2025
6,3C,9876543210ABCDEFFEDCBA0987,,,,1,04:53 21 February 2025
7,6C,ZXY987WVU654TS,,,,1,04:54 21 February 2025
8,3C,123456789ABCDEFFEDCBA987654321,,,,1,04:55 21 February 2025
9,6C,QWERTY12345678,,,,1,04:56 21 February 2025
10,3C,0987654321ABCDEFGH1234567890,,,,1,04:57 21 February 2025
11,6C,ABC123DEF456GH,,,,1,05:00 21 February 2025
12,3C,E8E72EGYGE7T2E,,,,1,05:02 21 February 2025
13,6C,ZXCVBNMASDFGHJKL,,,,1,05:04 21 February 2025
14,6C,83278346743647,,,,1,05:05 21 February 2025
15,3C,LMNOPQRSTUVWXYZ1234,,,,1,05:07 21 February 2025
16,6C,0987654321ABCDEFGH1234567890,,,,1,05:08 21 February 2025
17,3C,E8E72EGYGE7T2E,,,,1,05:09 21 February 2025
18,6C,ASDF1234QWER5678,,,,1,05:11 21 February 2025
19,3C,ZXCVBNMASDFGHJKL,,,,1,05:13 21 February 2025
20,6C,83278346743434344433434647,,,,1,05:15 21 February 2025
21,3C,MNBVCXZLKJHGFDSA,,,,1,05:17 21 February 2025
22,6C,QWERTY12345678,,,,1,05:18 21 February 2025
23,6C,LMNOPQRSTUVWXYZ1234,,,,1,05:20 21 February 2025
24,3C,POIUYTREWQLKJHGF,,,,1,05:22 21 February 2025
25,6C,0987654321ABCDEFGH1234567890,,,,1,05:24 21 February 2025
26,3C,MNBVCXZLKJHGFDSA,,,,1,05:25 21 February 2025
27,6C,ZXCVBNMASDFGHJKL,,,,1,05:27 21 February 2025
28,3C,QAZWSXEDCRFVTGB,,,,1,05:29 21 February 2025
29,6C,ASDF1234QWER5678,,,,1,05:31 21 February 2025
30,3C,POIUYTREWQLKJHGF,,,,1,05:33 21 February 2025

